meaning,count,attribute
공범,32,0
자전거,32,0
아니다,32,16
탕진,32,0
십,32,0
심하다,32,0
강남,32,0
원래,32,15
그만,32,0
약속,32,0
솔직히,32,0
회복,32,0
배고프다,32,0
뜻밖,32,0
아기,32,0
뛰어나다,32,0
하나,32,0
이천,32,0
위인,32,0
필요없다,32,16
잠실,32,0
해하다,32,0
십억,32,0
3호,32,0
똑똑하다,32,0
귀엽다,31,0
눈,31,0
공식,31,0
우습다,31,0
당황,31,0
평가,31,0
중독,31,0
충분하다,31,15
복습,31,0
맹세,31,0
직인,31,0
불신,31,0
비상식적,31,0
대략,31,0
예민,31,0
들키다,31,0
충분,31,0
사별,31,0
갈색,31,0
독특,31,0
안타깝다,31,0
황소고집,31,0
못하다,31,0
횡단보도,31,0
감옥,31,0
구조,31,0
용산역,30,0
카톡보내다,30,0
전문,30,0
발생하다,30,15
서구지부,30,0
귀찮다,30,0
중구지부,30,0
장애인복지카드,30,15
세뇌,30,0
중구주민지원센터,30,0
집중,30,0
여자,30,0
마포대교,30,0
의미,30,0
옷가게,30,0
누적사용,30,0
문자보내다,30,0
서구주민지원센터,30,0
오다오다,30,0
남자,30,0
달래다,30,0
고난이도,30,0
차따라가다,30,15
서다,30,0
위아래,30,0
문자받다,30,0
밀거래,30,0
주세요,30,0
무덤덤,30,0
어린이교통카드,30,0
트렁크닫다,30,0
후,30,0
미리,30,0
결승전,30,0
무식,30,0
신분당,30,0
남녀,30,0
위험,30,15
잠실대교,30,0
실수하다,30,14
견습,30,0
해보다,30,0
그남자,30,0
지하철오다,30,0
싫다,30,0
신기,30,0
알아서,30,0
4사람,30,14
중구수어통역센터,29,0
살인,29,0
서구수어통역센터,29,0
담당,29,0
떨다,29,0
몸,29,0
우유,29,0
도로,25,0
쥐,24,0
포천,23,0
1달,21,0
여기로,20,0
느리다,19,0
위,19,0
다리,19,0
어디,19,0
저,19,0
4명,19,0
빠르다,19,0
첫번째,19,0
난계로,18,0
난곡로,18,0
48분,18,0
10km,18,0
금정구수어통역센터,18,0
낙성대역길,18,0
강화군수어통역센터,18,0
김상옥로,18,0
창피하다,18,0
오다,18,0
걱정,18,0
휴학,18,0
상주시청,18,0
양산길,18,0
장애인,18,0
가락로,18,0
마포대로,18,0
금낭화로,18,0
상암로,18,0
은행나무로,18,0
형촌길,18,0
실수,18,0
마지막,18,0
속초시청,18,0
방화대로,18,0
영등포시장,17,0
당진시지부,17,0
도산대로,17,0
도봉산길,17,0
당산,17,0
도산공원,17,0
당산로,17,0
월드컵북로,17,0
도봉로,17,0
새정길,17,0
이대,17,0
원신길,17,0
의상봉길,17,0
원터길,17,0
지봉로,17,0
새원길,17,0
대사관로,17,0
도곡,17,0
대서문길,17,0
원효로,17,0
월계로,17,0
부광로,17,0
백육십구,17,0
대장로,17,0
진관길,17,0
덕수궁길,17,0
봉화산로,17,0
월곡로,17,0
덕수궁,17,0
대학길,17,0
의사당대로,17,0
백운길,17,0
대흥로,17,0
대방천로,17,0
도곡로,17,0
도구로,17,0
새말로,17,0
대곡,17,0
월드컵로,17,0
진흥로,17,0
진황도로,17,0
원인재,17,0
영신로,17,0
새문안로,17,0
도림천로,17,0
도당로,17,0
도림로,17,0
응암로,17,0
대림,17,0
대림로,17,0
덕릉로,17,0
지양로,17,0
대명길,17,0
상일로,17,0
자양강변길,17,0
당곡길,17,0
위례창곡천로,17,0
벚꽃로,17,0
법원로,17,0
천중로,17,0
넷째,17,0
천장산로,17,0
법원단지길,17,0
범안로,17,0
벌말로,17,0
천왕로,17,0
노들로,17,0
서부샛길,17,0
노량진로,17,0
서림길,17,0
영등포로,17,0
보신각,17,0
서리풀길,17,0
위례순환로,17,0
서래로,17,0
서대문형무소,17,0
버드나루로,17,0
노원로,17,0
육십구,17,0
위례송하로,17,0
노해로,17,0
연희로,17,0
녹번로,17,0
벨기에,17,0
보문사길,17,0
천호대로,17,0
천호옛길,17,0
청뜰로,17,0
청두곶길,17,0
청도군지부,17,0
보광로,17,0
서울광장,17,0
청구로,17,0
청구,17,0
청계천로,17,0
남한산성,17,0
보국문로,17,0
청계천,17,0
청계산로,17,0
보라매로,17,0
남현길,17,0
유엔빌리지길,17,0
보령시청,17,0
보문,17,0
서운로,17,0
서오릉로,17,0
서애로,17,0
유통단지길,17,0
서순라길,17,0
철면피,17,0
보문로,17,0
서소문로,17,0
위례송파로,17,0
녹사평대로,17,0
서달로,17,0
다동길,17,0
윤보선길,17,0
창경궁로,17,0
율곡로,17,0
서강대길,17,0
참숯길,17,0
다섯째,17,0
백제고분로,17,0
은천로,17,0
봉우재로,17,0
영덕군주민지원센터,17,0
봉원사길,17,0
봉은사,17,0
영덕군지부,17,0
샘마루길,17,0
은평로,17,0
은평터널로,17,0
영동대로,17,0
새파래지다,17,0
봉은사로,17,0
달서구주민지원센터,17,0
은행정로,17,0
봉작길,17,0
영등포구지부,17,0
봉천로,17,0
답십리로,17,0
본마을길,17,0
서강로,17,0
보은군지부,17,0
월정로,17,0
논현로,17,0
위례성대로,17,0
채팅,17,0
위례서로,17,0
위례북로,17,0
열째,17,0
창포원로,17,0
창전로,17,0
창의문로,17,0
누원로,17,0
위례대로,17,0
염곡말길,17,0
염곡안길,17,0
위례광장로,17,0
창신길,17,0
창동,17,0
창덕궁길,17,0
능동로,17,0
창덕궁,17,0
능선길,17,0
서경로,17,0
부일로,17,0
복은길,17,0
능안말길,17,0
복정,17,0
워커힐로,17,0
중대로,17,0
영중로,17,0
전쟁기념관,17,0
전원말길,17,0
만양로,17,0
인헌길,17,0
사평대로,17,0
전농로,17,0
말해주다,17,0
오이도,17,0
용마산로,17,0
망우,17,0
오정로,17,0
망원로,17,0
일곱째,17,0
사직로,17,0
오줌,17,0
매봉길,17,0
매봉로,17,0
매봉산로,17,0
매헌로,17,0
사임당로,17,0
용답중앙길,17,0
용답길,17,0
사인,17,0
오패산로,17,0
오현로,17,0
옥수,17,0
옥인길,17,0
장한로,17,0
전원말안길,17,0
용왕정길,17,0
장터길,17,0
바람드리길,17,0
인사동,17,0
마곡동로,17,0
마곡서로,17,0
인사동길,17,0
제기로,17,0
정자,17,0
마들로,17,0
정의로,17,0
마방로,17,0
삼개로,17,0
마산시지부,17,0
삼각지,17,0
삼각산로,17,0
정릉천동로,17,0
정릉로,17,0
정동길,17,0
비봉길,17,0
마장로,17,0
인수봉로,17,0
마조로,17,0
바우뫼로,17,0
인왕산,17,0
청룡길,17,0
살곶이길,17,0
인왕산로,17,0
마포나루길,17,0
인왕시장길,17,0
일원로,17,0
장충단로,17,0
백설기,17,0
장승배기로,17,0
장문로,17,0
올림픽로,17,0
문래북로,17,0
와룡공원길,17,0
와우산로,17,0
장군봉길,17,0
잠원로,17,0
잠실로,17,0
자가용,17,0
무교로,17,0
자곡로,17,0
자동차시장길,17,0
외대역동로,17,0
무학봉길,17,0
잔다리로,17,0
사백만,17,0
완주군지부,17,0
왕산로,17,0
무학로,17,0
자하문로,17,0
왕십리광장로,17,0
왕십리로,17,0
사당,17,0
자유로,17,0
무안군주민지원센터,17,0
자양번영로,17,0
사당로,17,0
문성로,17,0
장안벚꽃로,17,0
사십팔,17,0
목동중앙서로,17,0
명달로,17,0
미성길,17,0
명동길,17,0
장위로,17,0
사가정로,17,0
명륜길,17,0
장월로,17,0
명물길,17,0
미금,17,0
명일로,17,0
임정로,17,0
명지길,17,0
문화촌길,17,0
온수,17,0
사근동길,17,0
문정로,17,0
모란,17,0
모래내로,17,0
잊다,17,0
목동남로,17,0
목동동로,17,0
목동로,17,0
목동서로,17,0
목동중앙남로,17,0
목동중앙로,17,0
목동중앙본로,17,0
목동중앙북로,17,0
마곡나루,17,0
러시아,17,0
용인시청,17,0
상계로,17,0
영화사로,17,0
중림로,17,0
중랑천로,17,0
중랑역로,17,0
삼학사로,17,0
삼청로,17,0
백범로,17,0
삼청동,17,0
백련산로,17,0
백련사길,17,0
분당수서로,17,0
중랑,17,0
운현궁,17,0
불광,17,0
자양로,17,0
동광로,17,0
동교로,17,0
동구지부,17,0
동남로,17,0
불광로,17,0
불광천길,17,0
중고개길,17,0
중계로,17,0
동대문디자인플라자,17,0
동대문역사문화공원,17,0
우현로,17,0
주흥길,17,0
북한산성,17,0
북한산로,17,0
오목로,17,0
백사십구,17,0
도영로,17,0
백석동길,17,0
이매,17,0
이문로,17,0
백삼십,17,0
상봉로,17,0
도화길,17,0
북아현로,17,0
증원,17,0
독립문,17,0
독립문공원길,17,0
독립문로,17,0
북악산로,17,0
독막로,17,0
증산서길,17,0
증산로,17,0
독산로,17,0
상봉,17,0
증가로,17,0
독서당로,17,0
북촌로,17,0
북촌한옥마을,17,0
영천시장길,17,0
상도로,17,0
중앙로,17,0
중앙길,17,0
북한산,17,0
동마길,17,0
동망산길,17,0
동묘앞,17,0
동부간선로,17,0
등촌로,17,0
방배중앙로,17,0
방배선행길,17,0
삼성로,17,0
조정대로,17,0
방배로,17,0
디지털로,17,0
디지털미디어시티,17,0
이태원로,17,0
이화여대길,17,0
조원중앙로,17,0
조원로,17,0
밤골길,17,0
밤고개로,17,0
삼선교로,17,0
삼봉로,17,0
오류로,17,0
이화장길,17,0
오리로,17,0
발산로,17,0
우사단로,17,0
뚝섬로,17,0
익선동한옥마을,17,0
우면산로,17,0
우마길,17,0
반포대로,17,0
삼백억,17,0
삼성산길,17,0
등용로,17,0
방배천로,17,0
종암로,17,0
동산로,17,0
동소문로,17,0
동순라길,17,0
동숭길,17,0
동일로,17,0
삼전로,17,0
주안,17,0
동작대로,17,0
동호로,17,0
예술의전당,17,0
삼양로,17,0
우정국로,17,0
종묘,17,0
오금로,17,0
두텁바위로,17,0
둘레길,17,0
방학로,17,0
우장산로,17,0
둘째,17,0
우이천로,17,0
종로구수어통역센터,17,0
방울내로,17,0
이촌,17,0
삼십억,17,0
이촌로,17,0
오금,17,0
마포구수어통역센터,17,0
난우길,17,0
청룡마을길,17,0
5월,17,0
5시,17,0
학동로,17,0
애착,17,0
계동길,17,0
5시간,17,0
경희대로,17,0
5일,17,0
5명,17,0
경희궁길,17,0
경희궁,17,0
경춘북로,17,0
흑석한강로,17,0
5호선,17,0
한가람로,17,0
계양,17,0
하정로,17,0
43분,17,0
고려대로,17,0
57분,17,0
고미술로,17,0
고무래로,17,0
하늘공원,17,0
하늘공원로,17,0
하늘길,17,0
58분,17,0
하옵째,17,0
59분,17,0
시루봉로,17,0
5km,17,0
고덕로,17,0
5년,17,0
5달,17,0
5회,17,0
6,17,0
60분,17,0
한글비석로,17,0
6시15분,17,0
6시간,17,0
6월,17,0
6일,17,0
경복궁,17,0
경리단길,17,0
한남대로,17,0
60회,17,0
한내로,17,0
식유촌길,17,0
한림말길,17,0
경기도,17,0
경기대로,17,0
한빛로,17,0
암사길,17,0
6시,17,0
6살,17,0
청룡중앙길,17,0
시흥대로,17,0
6분,17,0
압구정로,17,0
6명,17,0
6달,17,0
한강시민공원,17,0
6년,17,0
경서로,17,0
경인로,17,0
한강대로,17,0
65살,17,0
한강난지로,17,0
한강공원,17,0
56분,17,0
55분,17,0
고산길,17,0
4시,17,0
양원역로,17,0
4년,17,0
숙선옹주로,17,0
4달,17,0
4분,17,0
팔판길,17,0
공항대로,17,0
5,17,0
4시간,17,0
4월,17,0
4일,17,0
4호선,17,0
양산시지부,17,0
공원로,17,0
과천대로,17,0
4km,17,0
47분,17,0
수표로,17,0
양재,17,0
양재대로,17,0
양재천로,17,0
효창원로,17,0
수유로,17,0
관악로,17,0
관악산,17,0
관천로,17,0
광나루로,17,0
광남로,17,0
45분,17,0
양천로,17,0
44회,17,0
4회,17,0
평창길,17,0
55000,17,0
필동로,17,0
풍산로,17,0
풍성로,17,0
약령중앙로,17,0
피마길,17,0
약령시로,17,0
약령서길,17,0
약령동길,17,0
평창문화로,17,0
필운대로,17,0
고성시수어통역센터,17,0
승방길,17,0
고성군주민지원센터,17,0
54분,17,0
고산자로,17,0
풍물시장,17,0
53분,17,0
고척로,17,0
약수암길,17,0
숭인로,17,0
숭인동길,17,0
숭문길,17,0
숭례문,17,0
52분,17,0
포은로,17,0
포방터길,17,0
곰달래로,17,0
양녕로,17,0
51분,17,0
50km,17,0
공덕,17,0
공릉로,17,0
경교장길,17,0
한천로,17,0
겸재로,17,0
강남순환로,17,0
신흥말길,17,0
신흥안길,17,0
8호선,17,0
8회,17,0
강동대로,17,0
강남초등길,17,0
9,17,0
환일길,17,0
9년,17,0
강남대로,17,0
9달,17,0
9명,17,0
감일남로,17,0
감이남로,17,0
신흥로,17,0
8월,17,0
강변북로,17,0
강변역로,17,0
8시간,17,0
화랑로,17,0
8시,17,0
화곡로,17,0
화계사길,17,0
8분,17,0
안암로,17,0
흑석로,17,0
강서로,17,0
신풍로,17,0
홍지문길,17,0
홍제천로,17,0
홍제원길,17,0
9분,17,0
황물로,17,0
8명,17,0
가산디지털단지,17,0
가양대로,17,0
횡성군수어통역센터,17,0
아차산로,17,0
가락시장,17,0
가람길,17,0
가산로,17,0
효령로,17,0
9시,17,0
효산공원앞,17,0
가래여울길,17,0
효자로,17,0
효창목길,17,0
가마산로,17,0
후암로,17,0
가엾다,17,0
가재울로,17,0
가재울미래로,17,0
휘경로,17,0
N서울타워,17,0
가좌로,17,0
쑥고개로,17,0
9회,17,0
9호선,17,0
9월,17,0
9시간,17,0
회룡,17,0
회나무로,17,0
간호대로,17,0
회기로,17,0
회기,17,0
갈현로,17,0
홍제내길,17,0
홍익로,17,0
6호선,17,0
신목로,17,0
해등로,17,0
해방촌,17,0
7분,17,0
신림동길,17,0
검암,17,0
신림로,17,0
행당로,17,0
신설동,17,0
신반포로,17,0
행운길,17,0
허준로,17,0
헌릉로,17,0
헌인릉길,17,0
7시,17,0
신도림로,17,0
신도림,17,0
신대방길,17,0
신당,17,0
항동로,17,0
신내역로,17,0
합정,17,0
7명,17,0
7달,17,0
7년,17,0
신내로,17,0
신내,17,0
7,17,0
신길로,17,0
신길,17,0
알마타길,17,0
6회,17,0
신사로,17,0
신수로,17,0
8달,17,0
홍대,17,0
신정중앙로,17,0
개포로,17,0
8,17,0
개운사길,17,0
개봉로,17,0
8km,17,0
홍릉로,17,0
7시2분,17,0
홍성군지부,17,0
신촌로,17,0
8년,17,0
홍씨마을길,17,0
홍연길,17,0
신촌역로,17,0
개화길,17,0
개화동로,17,0
거마로,17,0
호암로,17,0
신정로,17,0
거북골로,17,0
7회,17,0
신이문로,17,0
혜화로,17,0
7호선,17,0
신월로,17,0
7일,17,0
신원로,17,0
신우길,17,0
7월,17,0
안양천로,17,0
7시간,17,0
44분,17,0
46분,17,0
42분,17,0
18살,17,0
여의서로,17,0
성림길,17,0
성미산로,17,0
14분,17,0
금호산길,17,0
15분,17,0
16분,17,0
